date,category,subcategory,partner,amount (₪),description
2024-01,Income,Salary,Partner1,32800.0,Salary January
2024-01,Income,Salary,Partner2,12000.0,Salary January
2024-01,Income,Others (one time income),Both,1000.0,Refund
2024-01,Outcome,Rent,Both,-6800.0,Monthly rent
2024-01,Outcome,12 months avg credit card,Both,-1600.0,Average CC payment
2024-01,House Bills,Supermarket,Both,-1400.0,Grocery shopping
2024-01,,Hobbies & sports,Both,-200.0,Gym
2024-01,,Mobile phone,Both,-120.0,Mobile bills
2024-01,House Bills,Eating out / ordering,Both,-800.0,Restaurants & delivery
2024-01,House Bills,Cleaner,Both,-320.0,Monthly cleaning service
2024-01,House Bills,Therapy,Partner1,-600.0,Therapy session
2024-01,House Bills,Therapy,Partner2,-560.0,Therapy session
2024-01,House Bills,Education,Partner1,-400.0,Hebrew course
2024-01,House Bills,Education,Partner2,-400.0,Hebrew course
2024-01,House Bills,Commute,Both,-480.0,Transport
2024-01,House Bills,Other expenses,Both,-360.0,Miscellaneous
2024-01,House Bills,Water,Both,-120.0,Monthly water bill
2024-01,House Bills,Electricity,Both,-240.0,Monthly electricity bill
2024-01,House Bills,Arnona / house fees,Both,-400.0,Municipal tax
2024-01,House Bills,Building Fee,Both,-160.0,Maintenance fee
2024-01,House Bills,Internet,Both,-140.0,Monthly internet bill
2024-01,House Bills,TV,Both,-100.0,Cable or streaming
2024-01,House Bills,Netflix,Both,-40.0,Subscription
2024-01,House Bills,Spotify,Both,-40.0,Subscription
2024-01,House Bills,Google One,Both,-8.0,Cloud storage
2024-01,Eating out,Going out / evenings & weekends,Both,-600.0,Weekend restaurants
2024-01,Commute,Couple car rental,Both,-400.0,Weekend trip rental
2024-01,Put aside,Savings,Both,2000.0,Money saved this month
2024-02,Income,Salary,Partner1,12800.0,Salary February
2024-02,Income,Salary,Partner2,12000.0,Salary February
2024-02,Income,Others (one time income),Both,1000.0,Refund
2024-02,Outcome,Rent,Both,-4800.0,Monthly rent
2024-02,Outcome,12 months avg credit card,Both,-1600.0,Average CC payment
2024-02,House Bills,Supermarket,Both,-1400.0,Grocery shopping
2024-02,,Hobbies & sports,Both,-200.0,Gym
2024-02,,Mobile phone,Both,-120.0,Mobile bills
2024-02,House Bills,Eating out / ordering,Both,-800.0,Restaurants & delivery
2024-02,House Bills,Cleaner,Both,-320.0,Monthly cleaning service
2024-02,House Bills,Therapy,Partner1,-600.0,Therapy session
2024-02,House Bills,Therapy,Partner2,-560.0,Therapy session
2024-02,House Bills,Education,Partner1,-400.0,Hebrew course
2024-02,House Bills,Education,Partner2,-400.0,Hebrew course
2024-02,House Bills,Commute,Both,-480.0,Transport
2024-02,House Bills,Other expenses,Both,-360.0,Miscellaneous
2024-02,House Bills,Water,Both,-120.0,Monthly water bill
2024-02,House Bills,Electricity,Both,-240.0,Monthly electricity bill
2024-02,House Bills,Arnona / house fees,Both,-400.0,Municipal tax
2024-02,House Bills,Building Fee,Both,-160.0,Maintenance fee
2024-02,House Bills,Internet,Both,-140.0,Monthly internet bill
2024-02,House Bills,TV,Both,-100.0,Cable or streaming
2024-02,House Bills,Netflix,Both,-40.0,Subscription
2024-02,House Bills,Spotify,Both,-40.0,Subscription
2024-02,House Bills,Google One,Both,-8.0,Cloud storage
2024-02,Eating out,Going out / evenings & weekends,Both,-600.0,Weekend restaurants
2024-02,Commute,Couple car rental,Both,-400.0,Weekend trip rental
2024-02,Put aside,Savings,Both,2000.0,Money saved this month
2024-03,Income,Salary,Partner1,12800.0,Salary March
2024-03,Income,Salary,Partner2,15000.0,Salary March
2024-03,Income,Others (one time income),Both,1000.0,Refund
2024-03,Outcome,Rent,Both,-4800.0,Monthly rent
2024-03,Outcome,12 months avg credit card,Both,-1600.0,Average CC payment
2024-03,House Bills,Supermarket,Both,-1400.0,Grocery shopping
2024-03,,Hobbies & sports,Both,-2000.0,Gym
2024-03,,Mobile phone,Both,-120.0,Mobile bills
2024-03,House Bills,Eating out / ordering,Both,-800.0,Restaurants & delivery
2024-03,House Bills,Cleaner,Both,-320.0,Monthly cleaning service
2024-03,House Bills,Therapy,Partner1,-600.0,Therapy session
2024-03,House Bills,Therapy,Partner2,-560.0,Therapy session
2024-03,House Bills,Education,Partner1,-400.0,Hebrew course
2024-03,House Bills,Education,Partner2,-400.0,Hebrew course
2024-03,House Bills,Commute,Both,-480.0,Transport
2024-03,House Bills,Other expenses,Both,-360.0,Miscellaneous
2024-03,House Bills,Water,Both,-120.0,Monthly water bill
2024-03,House Bills,Electricity,Both,-240.0,Monthly electricity bill
2024-03,House Bills,Arnona / house fees,Both,-400.0,Municipal tax
2024-03,House Bills,Building Fee,Both,-160.0,Maintenance fee
2024-03,House Bills,Internet,Both,-140.0,Monthly internet bill
2024-03,House Bills,TV,Both,-100.0,Cable or streaming
2024-03,House Bills,Netflix,Both,-40.0,Subscription
2024-03,House Bills,Spotify,Both,-40.0,Subscription
2024-03,House Bills,Google One,Both,-8.0,Cloud storage
2024-03,Eating out,Going out / evenings & weekends,Both,-600.0,Weekend restaurants
2024-03,Commute,Couple car rental,Both,-400.0,Weekend trip rental
2024-03,Put aside,Savings,Both,2000.0,Money saved this month
2024-04,Income,Salary,Partner1,12800.0,Salary April
2024-04,Income,Salary,Partner2,12000.0,Salary April
