date,category,subcategory,partner,amount (€),description
2024-01,Starting,Bank now,Partner1,4500,Balance at start
2024-01,Starting,Bank now,Partner2,3800,Balance at start
2024-01,Income,Salary,Partner1,3200,Salary January
2024-01,Income,Salary,Partner2,3000,Salary January
2024-01,Income,Others (one time income),Both,250,Refund
2024-01,Outcome,Rent,Both,-1200,Monthly rent
2024-01,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-01,House Bills,Supermarket,Both,-350,Grocery shopping
2024-01,,Hobbies & sports,Both,-50,Gym
2024-01,,Mobile phone,Both,-30,Mobile bills
2024-01,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-01,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-01,House Bills,Therapy,Partner1,-150,Therapy session
2024-01,House Bills,Therapy,Partner2,-140,Therapy session
2024-01,House Bills,Education,Partner1,-100,Hebrew course
2024-01,House Bills,Education,Partner2,-100,Hebrew course
2024-01,House Bills,Commute,Both,-120,Transport
2024-01,House Bills,Other expenses,Both,-90,Miscellaneous
2024-01,House Bills,Water,Both,-30,Monthly water bill
2024-01,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-01,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-01,House Bills,Building Fee,Both,-40,Maintenance fee
2024-01,House Bills,Internet,Both,-35,Monthly internet bill
2024-01,House Bills,TV,Both,-25,Cable or streaming
2024-01,House Bills,Netflix,Both,-10,Subscription
2024-01,House Bills,Spotify,Both,-10,Subscription
2024-01,House Bills,Google One,Both,-2,Cloud storage
2024-01,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-01,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-01,Put aside,Savings,Both,500,Money saved this month
2024-02,Starting,Bank now,Partner1,4500,Balance at start
2024-02,Starting,Bank now,Partner2,3800,Balance at start
2024-02,Income,Salary,Partner1,3200,Salary February
2024-02,Income,Salary,Partner2,3000,Salary February
2024-02,Income,Others (one time income),Both,250,Refund
2024-02,Outcome,Rent,Both,-1200,Monthly rent
2024-02,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-02,House Bills,Supermarket,Both,-350,Grocery shopping
2024-02,,Hobbies & sports,Both,-50,Gym
2024-02,,Mobile phone,Both,-30,Mobile bills
2024-02,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-02,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-02,House Bills,Therapy,Partner1,-150,Therapy session
2024-02,House Bills,Therapy,Partner2,-140,Therapy session
2024-02,House Bills,Education,Partner1,-100,Hebrew course
2024-02,House Bills,Education,Partner2,-100,Hebrew course
2024-02,House Bills,Commute,Both,-120,Transport
2024-02,House Bills,Other expenses,Both,-90,Miscellaneous
2024-02,House Bills,Water,Both,-30,Monthly water bill
2024-02,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-02,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-02,House Bills,Building Fee,Both,-40,Maintenance fee
2024-02,House Bills,Internet,Both,-35,Monthly internet bill
2024-02,House Bills,TV,Both,-25,Cable or streaming
2024-02,House Bills,Netflix,Both,-10,Subscription
2024-02,House Bills,Spotify,Both,-10,Subscription
2024-02,House Bills,Google One,Both,-2,Cloud storage
2024-02,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-02,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-02,Put aside,Savings,Both,500,Money saved this month
2024-03,Starting,Bank now,Partner1,4500,Balance at start
2024-03,Starting,Bank now,Partner2,3800,Balance at start
2024-03,Income,Salary,Partner1,3200,Salary March
2024-03,Income,Salary,Partner2,3000,Salary March
2024-03,Income,Others (one time income),Both,250,Refund
2024-03,Outcome,Rent,Both,-1200,Monthly rent
2024-03,Outcome,12 months avg credit card,Both,-400,Average CC payment
2024-03,House Bills,Supermarket,Both,-350,Grocery shopping
2024-03,,Hobbies & sports,Both,-50,Gym
2024-03,,Mobile phone,Both,-30,Mobile bills
2024-03,House Bills,Eating out / ordering,Both,-200,Restaurants & delivery
2024-03,House Bills,Cleaner,Both,-80,Monthly cleaning service
2024-03,House Bills,Therapy,Partner1,-150,Therapy session
2024-03,House Bills,Therapy,Partner2,-140,Therapy session
2024-03,House Bills,Education,Partner1,-100,Hebrew course
2024-03,House Bills,Education,Partner2,-100,Hebrew course
2024-03,House Bills,Commute,Both,-120,Transport
2024-03,House Bills,Other expenses,Both,-90,Miscellaneous
2024-03,House Bills,Water,Both,-30,Monthly water bill
2024-03,House Bills,Electricity,Both,-60,Monthly electricity bill
2024-03,House Bills,Arnona / house fees,Both,-100,Municipal tax
2024-03,House Bills,Building Fee,Both,-40,Maintenance fee
2024-03,House Bills,Internet,Both,-35,Monthly internet bill
2024-03,House Bills,TV,Both,-25,Cable or streaming
2024-03,House Bills,Netflix,Both,-10,Subscription
2024-03,House Bills,Spotify,Both,-10,Subscription
2024-03,House Bills,Google One,Both,-2,Cloud storage
2024-03,Eating out,Going out / evenings & weekends,Both,-150,Weekend restaurants
2024-03,Commute,Couple car rental,Both,-100,Weekend trip rental
2024-03,Put aside,Savings,Both,500,Money saved this month
2024-04,Starting,Bank now,Partner1,4500,Balance at start
2024-04,Starting,Bank now,Partner2,3800,Balance at start
2024-04,Income,Salary,Partner1,3200,Salary April
2024-04,Income,Salary,Partner2,3000,Salary April
2024-04,Income,Others (one time income),Both,250,Refund
2024-04,Outcome,Rent,Both,-1200,Monthly rent
